average_distance_travelled,average_fill_percent,deployment_cost,num_bikes,num_empty_bikes,profit,total_fare_collected,vacant_seats
6.378571428571429,22.965641098404554,601.8625000000001,63,21,-253.5625000000001,348.29999999999995,458
6.1739130434782625,10.29912906673266,352.96499999999975,63,40,-133.16499999999974,219.8,295
6.359259259259262,11.412509284720239,379.34249999999975,63,36,-190.84249999999972,188.50000000000003,317
6.5304347826086975,10.274590515680053,350.1024999999997,63,40,-160.00249999999969,190.1,274
6.327586206896553,10.11792920688893,474.1424999999998,63,34,-306.8424999999998,167.3,407
6.4406250000000025,12.074918663443727,468.70749999999964,63,31,-281.6074999999996,187.10000000000002,401
6.341666666666669,8.998125906848015,398.3674999999999,63,39,-237.66749999999985,160.70000000000005,340
6.422222222222224,10.133024310653981,406.8124999999997,63,36,-207.7124999999997,199.10000000000002,345
5.968965517241382,13.078731329093543,375.8774999999996,63,34,-173.57749999999962,202.29999999999998,325
5.966666666666668,8.487848114622961,404.0649999999997,63,39,-203.56499999999977,200.49999999999994,347
6.500000000000001,9.46925075525481,404.37499999999983,63,38,-209.57499999999982,194.8,332
6.35357142857143,10.699787414362897,439.4349999999998,63,35,-240.9349999999998,198.49999999999997,364
6.321428571428574,10.416923310867094,434.28249999999974,63,35,-217.98249999999973,216.3,371
6.082758620689656,10.1400402224318,462.9074999999997,63,34,-257.60749999999973,205.29999999999998,412
6.460869565217393,10.00314707240236,372.13499999999965,63,40,-181.23499999999964,190.9,307
6.221739130434783,8.861228235902242,383.29249999999985,63,40,-222.09249999999986,161.2,325
6.390322580645163,12.442508080584,453.2499999999998,63,32,-222.74999999999974,230.50000000000003,381
6.252380952380953,8.495166102236515,328.1799999999997,63,42,-149.9799999999997,178.20000000000002,259
6.611538461538464,11.209646530423115,387.5399999999998,63,37,-211.3399999999998,176.2,313
6.308000000000002,11.052104586442457,392.9974999999999,63,38,-181.1974999999999,211.79999999999998,326
5.845454545454547,30.77959926589402,536.5149999999996,63,19,-217.41499999999962,319.1,400
6.11304347826087,14.107652239187974,255.08500000000004,63,40,-35.28500000000005,219.79999999999998,175
6.186666666666669,15.58552742950519,372.5275,63,33,-184.02749999999997,188.5,306
6.300000000000002,14.158737807514921,257.695,63,40,-67.59500000000003,190.09999999999997,184
6.300000000000003,16.126863589341625,360.8499999999999,63,35,-193.5499999999999,167.3,281
6.333333333333336,17.400924369495222,384.57999999999987,63,30,-197.47999999999988,187.1,320
6.248000000000001,14.453810464526908,288.94499999999994,63,38,-128.24499999999986,160.70000000000007,227
6.624137931034484,14.146565431674755,378.9024999999999,63,34,-179.80249999999995,199.09999999999997,301
6.3896551724137955,15.451577185653756,354.215,63,34,-151.915,202.29999999999998,274
5.916666666666668,18.305702098373427,266.04999999999995,63,39,-65.54999999999993,200.50000000000003,188
6.125000000000001,15.881888047647267,270.46,63,39,-75.66000000000003,194.79999999999995,187
5.925000000000002,20.553642112280087,378.25749999999994,63,31,-179.75749999999994,198.5,309
6.3466666666666685,16.087384151221908,375.3774999999998,63,33,-159.0774999999998,216.30000000000004,303
5.845161290322582,17.713519671863814,413.5999999999999,63,32,-208.2999999999999,205.3,350
5.900000000000001,17.949646387119376,264.5725,63,39,-73.67249999999996,190.90000000000003,194
6.112500000000002,14.891048880764547,265.04499999999996,63,39,-103.845,161.19999999999996,201
6.246875000000003,20.12973066425663,391.6974999999999,63,31,-161.19749999999988,230.5,301
6.116666666666667,16.0283086512453,263.14750000000004,63,39,-84.94750000000002,178.20000000000002,193
6.393103448275864,15.433971747744684,375.3324999999999,63,34,-199.13249999999994,176.2,299
5.964285714285715,18.200919220422005,353.79999999999995,63,35,-141.99999999999994,211.8,270
6.233333333333335,18.569874315028326,719.4825000000001,72,30,-383.58250000000015,335.8999999999999,585
6.650000000000001,7.6974704455862435,394.76,72,52,-174.95999999999998,219.8,296
6.525000000000003,7.77529968113377,516.7025,72,44,-328.20250000000004,188.49999999999994,442
6.6958333333333355,7.508759123859194,497.76499999999993,72,48,-307.6649999999999,190.10000000000002,393
6.280000000000002,9.17374844245811,578.04,72,42,-410.74,167.29999999999998,490
6.482758620689658,7.9783369411633664,514.49,72,43,-327.39,187.10000000000002,461
6.395833333333335,7.106213274348231,479.31500000000005,72,48,-318.61500000000007,160.7,403
6.396551724137934,8.503007093555844,565.5975,72,43,-366.49749999999995,199.10000000000005,471
6.450000000000003,8.05510212999752,507.32000000000005,72,44,-305.02000000000004,202.3,437
6.387499999999999,8.98921056509532,492.0800000000001,72,48,-291.58000000000004,200.50000000000003,391
6.240740740740741,10.901300849608221,521.3875,72,45,-326.5875000000001,194.79999999999998,427
6.2200000000000015,10.544588537587378,568.1924999999999,72,42,-369.6924999999999,198.50000000000003,480
6.337037037037039,9.237876541547896,502.25000000000006,72,45,-285.95,216.30000000000007,415
6.274074074074076,9.331268515686995,516.7375000000001,72,45,-311.4375000000001,205.29999999999995,424
6.547058823529413,6.556368004675375,345.92250000000007,72,55,-155.02250000000004,190.90000000000003,267
6.044000000000002,8.08913153743891,482.58500000000004,72,47,-321.385,161.20000000000005,407
6.406451612903228,9.599826008659694,550.7499999999999,72,41,-320.2499999999999,230.49999999999997,474
6.3380952380952404,6.4214614042515334,436.83750000000003,72,51,-258.63750000000005,178.20000000000002,366
6.414814814814817,8.429162280373461,507.5375,72,45,-331.3375,176.20000000000002,416
6.3000000000000025,10.583618173089334,493.0775,72,47,-281.2775,211.8,388
6.0604651162790715,28.444154076084438,545.4449999999999,72,29,-208.24499999999978,337.20000000000016,433
