statistic, mean, standard deviation
average_distance_travelled,6.171837775745574,4.99116618373416
average_fill_percent,12.72175797957878,71.87989397106979
deployment_cost,384.2990562500001,1880.1009838503317
num_bikes,75.95,133.18783728253882
num_empty_bikes,48.4525,169.1777098201769
profit,-183.35755625000004,1599.3653440482208
total_fare_collected,200.94150000000025,736.4935512955972
vacant_seats,302.7775,1628.9926941211245
