average_distance_travelled,average_fill_percent,deployment_cost,num_bikes,num_empty_bikes,profit,total_fare_collected,vacant_seats
fare_per_dist
2.9120000000000004,36.56084656084656,71.05499999999999,63,38,158.445,229.5,25
2.6999999999999993,35.147392290249435,61.1175,63,39,130.88249999999996,191.99999999999997,17
2.333333333333333,31.48148148148148,44.377500000000005,63,42,108.42250000000001,152.8,4
2.8000000000000003,33.480725623582764,57.727500000000006,63,40,107.1725,164.9,15
2.2529411764705882,24.074074074074076,33.727499999999985,63,46,76.27250000000001,110.0,7
2.468421052631579,27.38095238095238,39.712500000000006,63,44,97.88750000000002,137.60000000000002,6
2.1375,23.148148148148145,31.282499999999985,63,47,91.51750000000001,122.8,5
2.694736842105263,27.645502645502642,42.05249999999999,63,44,109.8475,151.89999999999998,5
2.6149999999999998,29.761904761904763,43.68000000000001,63,43,111.82000000000002,155.50000000000003,4
2.2624999999999997,34.77702191987906,56.242500000000014,63,39,127.2575,183.5,20
2.769565217391304,33.20861678004535,56.94750000000001,63,40,109.2525,166.20000000000002,15
2.4749999999999996,24.603174603174605,32.91,63,47,102.69,135.6,2
2.454545454545455,32.823129251700685,49.73250000000001,63,41,126.66749999999999,176.4,7
2.642105263157894,28.703703703703702,41.535000000000004,63,44,113.66499999999996,155.19999999999996,3
2.2526315789473683,28.174603174603174,39.044999999999995,63,44,101.15500000000003,140.20000000000002,4
2.352631578947368,28.571428571428573,39.60749999999999,63,44,99.39249999999998,138.99999999999997,3
2.778260869565217,34.36507936507937,57.69000000000001,63,40,113.51,171.20000000000002,9
2.8649999999999998,29.100529100529098,45.69,63,43,87.91,133.6,6
2.435294117647059,23.94179894179894,34.9875,63,46,85.9125,120.89999999999999,7
2.7708333333333326,36.00529100529101,62.88,63,39,127.51999999999998,190.39999999999998,15
2.7,39.48099415204678,72.34500000000004,63,36,143.95499999999998,216.3,32
2.2039999999999997,36.45456233175531,55.16250000000004,63,38,128.33749999999998,183.5,26
2.4260869565217393,34.92063492063492,48.43500000000001,63,40,104.36500000000001,152.8,4
2.312,35.82799591571522,55.82250000000003,63,38,109.6775,165.50000000000003,26
2.8458333333333337,35.484544695071015,55.5675,63,39,88.1325,143.7,20
2.5999999999999996,33.333333333333336,47.662499999999994,63,41,93.9375,141.6,4
2.2478260869565214,34.92063492063492,46.84500000000001,63,40,98.65499999999999,145.5,4
2.3291666666666666,34.69089390142022,51.585000000000036,63,39,113.31499999999994,164.89999999999998,22
2.2041666666666666,35.2548036758563,50.35500000000001,63,39,113.445,163.8,19
2.6999999999999997,35.98579782790309,56.15250000000003,63,39,125.14749999999992,181.29999999999995,14
2.5318181818181813,34.12698412698413,46.53000000000001,63,41,112.66999999999999,159.2,2
2.568421052631579,29.365079365079364,40.09499999999999,63,44,110.60499999999999,150.7,2
2.4086956521739125,34.12698412698413,48.180000000000014,63,40,123.21999999999997,171.39999999999998,6
2.4759999999999995,36.876914508493456,57.71250000000003,63,38,120.68749999999994,178.39999999999998,19
2.7458333333333336,35.8187134502924,56.77500000000002,63,39,110.32499999999997,167.1,16
2.3913043478260865,34.12698412698413,47.7975,63,40,94.50250000000001,142.3,6
3.18,37.80284043441939,64.02750000000005,63,38,122.37250000000002,186.40000000000006,15
2.5359999999999996,36.190012067205046,57.44250000000001,63,38,96.15750000000001,153.60000000000002,25
2.8260869565217384,34.92063492063492,51.937500000000014,63,40,92.16249999999998,144.1,4
2.664000000000001,36.45456233175531,59.18250000000004,63,38,115.61749999999998,174.8,26
2.6583333333333337,31.623931623931625,63.030000000000044,72,48,161.56999999999994,224.6,16
2.466666666666667,30.190527065527064,59.19750000000004,72,48,127.90249999999997,187.10000000000002,29
2.313636363636363,27.89351851851852,49.32000000000001,72,50,98.18000000000002,147.50000000000003,15
2.460869565217391,29.1488603988604,53.947500000000026,72,49,108.05250000000004,162.00000000000006,23
2.5173913043478255,29.602920227920226,54.367500000000014,72,49,89.33250000000001,143.70000000000002,21
2.627272727272727,27.89351851851852,51.810000000000024,72,50,90.48999999999998,142.3,15
2.1863636363636356,28.935185185185187,48.217500000000015,72,50,96.98249999999997,145.2,12
2.5095238095238095,26.50462962962963,47.95500000000002,72,51,106.54499999999999,154.5,15
2.4086956521739125,28.908475783475783,53.62500000000002,72,49,108.37499999999997,162.0,23
1.98,25.694444444444443,41.8425,72,52,94.85749999999999,136.7,13
2.591666666666667,29.81659544159544,59.93250000000005,72,48,105.26749999999997,165.20000000000002,32
2.1499999999999995,25.694444444444443,42.93000000000001,72,52,95.26999999999998,138.2,13
2.326086956521739,29.709757834757838,53.910000000000025,72,49,122.48999999999998,176.4,20
2.795833333333333,30.671296296296298,61.860000000000035,72,48,116.53999999999994,178.39999999999998,24
2.321739130434783,29.92343304843305,53.97000000000002,72,49,112.53,166.50000000000003,18
2.6545454545454543,28.935185185185187,51.975000000000016,72,50,91.12499999999997,143.1,12
2.333333333333333,31.205484330484335,56.20500000000002,72,48,130.995,187.20000000000002,19
2.6833333333333336,30.030270655270655,60.62250000000004,72,48,92.97749999999999,153.60000000000002,30
2.805263157894737,24.65277777777778,42.99000000000001,72,53,85.21000000000004,128.20000000000005,4
2.536363636363636,29.398148148148145,51.922500000000014,72,50,119.3775,171.3,8
2.5966666666666662,39.68253968253968,72.45750000000005,72,42,162.14249999999993,234.59999999999997,18
2.011111111111111,35.53240740740741,51.510000000000005,72,45,133.99000000000007,185.50000000000006,5
2.592307692307692,32.638888888888886,55.050000000000026,72,46,97.74999999999993,152.79999999999995,9
2.5392857142857146,36.736111111111114,61.050000000000026,72,44,105.94999999999997,167.0,7
2.14,32.638888888888886,48.61500000000001,72,47,92.88499999999996,141.49999999999997,6
2.766666666666666,31.018518518518515,51.937500000000014,72,48,90.96249999999996,142.89999999999998,6
2.1217391304347823,31.134259259259263,44.54999999999999,72,49,98.55000000000001,143.1,2
2.3319999999999994,33.333333333333336,50.73750000000002,72,47,114.16250000000002,164.90000000000003,4
2.0679999999999996,34.02777777777778,48.0225,72,47,115.2775,163.3,2
2.185714285714285,37.56944444444444,57.44250000000003,72,44,126.05749999999995,183.49999999999997,4
2.353846153846154,35.416666666666664,52.62000000000002,72,46,114.37999999999998,167.0,2
2.5074074074074075,35.87962962962963,56.617500000000014,72,45,111.98250000000002,168.60000000000002,4
2.5692307692307685,34.375,55.087500000000034,72,46,121.31249999999994,176.39999999999998,5
2.476923076923076,34.72222222222222,54.29250000000002,72,46,118.30749999999998,172.6,4
2.522222222222222,35.53240740740741,57.21000000000003,72,45,109.88999999999996,167.1,5
1.8444444444444446,23.032407407407405,32.52749999999999,72,54,72.7725,105.29999999999998,4
2.514285714285714,37.43055555555556,60.47250000000002,72,44,123.82750000000001,184.30000000000004,5
2.3999999999999995,35.648148148148145,55.31250000000001,72,45,98.2875,153.6,5
2.84,33.333333333333336,54.615000000000016,72,47,93.08499999999998,147.7,4
2.5758620689655167,38.333333333333336,67.515,72,43,122.38500000000003,189.90000000000003,10
2.9625,40.75,89.21250000000008,75,43,160.48749999999995,249.70000000000002,17
2.2285714285714286,34.74603174603175,58.95,75,47,125.75000000000001,184.70000000000002,10
2.3458333333333328,30.666666666666668,49.18500000000001,75,51,102.21500000000003,151.40000000000003,3
2.533333333333333,34.523809523809526,60.22500000000002,75,48,104.97499999999997,165.2,7
